,loss,sparse_top_k_categorical_accuracy,sparse_categorical_crossentropy,val_loss,val_sparse_top_k_categorical_accuracy,val_sparse_categorical_crossentropy
0,1.2529615118475161,0.4692554175853729,1.2529618740081787,1.5150059200823307,0.4592108428478241,1.5137945413589478
1,1.2156688655008512,0.4932345747947693,1.2156685590744019,1.245372380488194,0.4542793035507202,1.24781334400177
2,1.2034633005139403,0.5013863444328308,1.2034624814987183,1.1720603429354155,0.5107810497283936,1.1702436208724976
3,1.1878512365652991,0.507587730884552,1.1878511905670166,1.208954469515727,0.4905124306678772,1.208626389503479
4,1.1738148739992622,0.5147527456283569,1.1738157272338867,1.165511878923728,0.5229859948158264,1.1666878461837769
5,1.1636380023594952,0.5186972618103027,1.1636371612548828,1.1384909313458662,0.5182042717933655,1.1395741701126099
6,1.1537077423798094,0.5249917507171631,1.1537078619003296,1.132707455410407,0.5251333713531494,1.1324213743209839
7,1.139715603667101,0.5319451093673706,1.1397145986557007,1.1081762471451209,0.5393653512001038,1.1069225072860718
8,1.1305519981003778,0.5356085300445557,1.1305521726608276,1.108516552987007,0.5482454299926758,1.1066491603851318
9,1.1205896646849745,0.5425328612327576,1.1205897331237793,1.0897186934374845,0.5467395186424255,1.0902726650238037
10,1.1148851483457778,0.5463529229164124,1.1148853302001953,1.0997866148558946,0.544917643070221,1.099204182624817
11,1.1006593456675624,0.5516970753669739,1.1006591320037842,1.1002425832244067,0.5432784557342529,1.0997461080551147
12,1.0954230605781852,0.5530558824539185,1.095423698425293,1.0690961387008429,0.5536835789680481,1.0681442022323608
13,1.0983353835828717,0.5532030463218689,1.0983352661132812,1.0575006634283524,0.5616316199302673,1.060080885887146
14,1.0862532434158336,0.5571138262748718,1.0862537622451782,1.1186044150247023,0.5454656481742859,1.1213260889053345
15,1.0784122389648347,0.5610297918319702,1.0784128904342651,1.081775556676663,0.5631937384605408,1.0818099975585938
16,1.0719586526841616,0.5649517178535461,1.071959137916565,1.0831293028134565,0.562349259853363,1.082209825515747
17,1.072608365529288,0.5631064176559448,1.0726078748703003,1.0775996076946075,0.5556715130805969,1.0783127546310425
18,1.0684150703254354,0.5655818581581116,1.068416953086853,1.05560043368202,0.5622467398643494,1.0514755249023438
19,1.0578423138044017,0.5697710514068604,1.0578430891036987,1.029663209588482,0.5719130039215088,1.0266666412353516
20,1.0557297114819022,0.5692301988601685,1.055728793144226,1.072909764945507,0.5601621270179749,1.074777364730835
21,1.0511571932531676,0.5695972442626953,1.0511565208435059,1.0787812737891307,0.5435512065887451,1.0798105001449585
22,1.0419765496321,0.5735150575637817,1.0419766902923584,1.039326798887207,0.5689914226531982,1.038206934928894
23,1.0378104784287894,0.5745317339897156,1.0378100872039795,1.0811884322991738,0.5346074104309082,1.082905650138855
24,1.0360006382306077,0.573571503162384,1.036000370979309,1.0389357320964336,0.5776767134666443,1.0378389358520508
25,1.0468875298555604,0.5711624026298523,1.0468872785568237,1.0838968222244427,0.5409314632415771,1.0861796140670776
26,1.0341754311665519,0.574500560760498,1.0341747999191284,1.0569787794867387,0.5612278580665588,1.0579910278320312
27,1.0242484327396215,0.577203631401062,1.0242490768432617,1.1093943391281824,0.542915940284729,1.110288143157959
28,1.0514210489224296,0.5678421854972839,1.0514200925827026,1.031899238148561,0.5660502910614014,1.0325573682785034
29,1.0219959817843707,0.5778354406356812,1.0219966173171997,1.0703716888450658,0.5492622256278992,1.0734564065933228
