,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.007749754039433123,0.007749756798148155,0.0004082053071495186,0.00040929854731075466
1,0.0010390981236187617,0.0010390979005023837,0.0009212495824613143,0.0009220007923431695
2,0.0008709087866751519,0.0008709104731678963,0.0006549308383490335,0.0006561747868545353
3,0.0007479797621992786,0.0007479799096472561,0.00022745334117994038,0.00022751827782485634
4,0.0004806802242920803,0.0004806805227417499,0.00034108967709191627,0.0003334362991154194
5,0.00041014020742873703,0.00041014072485268116,0.00020019124279385252,0.00020011763263028115
6,0.0003418926941917477,0.0003418924461584538,0.000282927824138404,0.0002833551843650639
7,0.0003297017543648558,0.00032970175379887223,0.0007559336339069817,0.0007565887062810361
8,0.00027674932504972717,0.0002767493133433163,0.00017500316968065678,0.00017543129797559232
9,0.0002468310727173988,0.0002468312159180641,0.0003124691324781172,0.0003134748840238899
10,0.0002487899884972085,0.00024879013653844595,0.0002395183692687379,0.0002401089877821505
11,0.00020743388656099048,0.00020743379718624055,0.0006585480218396137,0.0006600451306439936
12,0.00019999013777653705,0.00019999041978735477,0.0006720777986489478,0.0006738380761817098
13,0.00018062999742899267,0.00018062999879475683,0.00031187315926217707,0.0003121426561847329
14,0.00016378402795363085,0.00016378422151319683,0.000464816200921912,0.0004653586365748197
15,0.00016095386273421217,0.00016095390310510993,6.831207136096615e-05,6.800726987421513e-05
16,0.0001509731286417717,0.00015097322466317564,7.887790305770838e-05,7.905776874395087e-05
17,0.00013547104685623197,0.00013547102571465075,0.00022040342943140646,0.00022059818729758263
18,0.00014183986178940142,0.0001418397732777521,0.00015909454549938135,0.00015894310490693897
19,0.00013739050498395373,0.00013739056885242462,0.0004160406999569834,0.00041663358570076525
20,0.00013030594367731434,0.00013030604168307036,0.0001179021551601741,0.00011782046203734353
21,0.00011779381845471458,0.00011779377382481471,0.0001308884459726519,0.000131065389723517
22,0.00011202549791347472,0.00011202546738786623,0.00014976084097585184,0.00014992555952630937
23,0.00011195509880936649,0.00011195494153071195,0.0001226474241775577,0.00012291596794966608
24,0.00010256354098027617,0.00010256358655169606,0.0001280500356940068,0.00012832667562179267
25,9.419252070129962e-05,9.41924809012562e-05,0.00021425615134900838,0.00021434863447211683
26,0.00010487168834412841,0.00010487174586160108,9.95410003165139e-05,9.97196912067011e-05
27,9.637412833403036e-05,9.637411858420819e-05,4.1973901445019764e-05,4.203980279271491e-05
28,8.428881535775835e-05,8.428881119471043e-05,0.00023209288462147434,0.00023261102614924312
29,8.522999097153684e-05,8.522994903614745e-05,0.0002553710850966476,0.0002558211563155055
